System,Squad,Responsible,Integration,Resource Group,URL
ResToolKit - Mediaflux,CORE,Mansi/Myka,LA - la_rt_mf_processer_prod_01,RG - researchDeliveryData-resToolKitMediaflux-prod,
ResToolKit - LabArchives,CORE,Mansi/Myka,unsw-rtkLabArchivesNotebookProvisioningOrchestrator-logApp-prod,researchDeliveryData-resToolKitLabArchive-prod,
ROSRes,CORE,Myka,ADF- ai-rosres-prod-df-v2,RG - researchDeliveryData-rosResData-prod,https://adf.azure.com/en/monitoring/pipelineruns?factory=%2Fsubscriptions%2Fde93eb29-7b3a-415b-9be0-adbf6ddcf73b%2FresourceGroups%2FresearchDeliveryData-rosResData-prod%2Fproviders%2FMicrosoft.DataFactory%2Ffactories%2Fai-rosres-prod-df-v2
ResToolKit,CORE,Myka,ADF- ai-rosres-prod-df-v2,RG - researchDeliveryData-rosResData-prod,
InfoEd & iRECS,CORE,Shikha,ADF - unsw-irecs-adf-prod,RG - researchManagementEthics-iRecsIntegration-prod,https://adf.azure.com/en/monitoring/pipelineruns?factory=%2Fsubscriptions%2Fde93eb29-7b3a-415b-9be0-adbf6ddcf73b%2FresourceGroups%2FresearchManagementEthics-iRecsIntegration-prod%2Fproviders%2FMicrosoft.DataFactory%2Ffactories%2Funsw-irecs-adf-prod
GRIS - SIMS Integration API,CORE,Shikha,APIM - GRIS API,RG - digitalDeliveryIntegration-nexIntegrationCore-prd01ae,
GMO Container creation,CORE,Shikha,ADF - unsw-gmoContainerfactory-adf-prd,RG - researchDeliveryData-gmoRAMSIntegration-prd,https://adf.azure.com/en/monitoring/pipelineruns?factory=%2Fsubscriptions%2Fde93eb29-7b3a-415b-9be0-adbf6ddcf73b%2FresourceGroups%2FresearchDeliveryData-gmoRAMSIntegration-prd%2Fproviders%2FMicrosoft.DataFactory%2Ffactories%2Funsw-gmoContainerfactory-adf-prd
GMO File mover,CORE,Shikha,ADF - unsw-nexgmofm-df-syd-prd-01,RG - digitalDeliveryIntegration-nexDocMgmnt-prd01ae,https://adf.azure.com/en/monitoring/pipelineruns?factory=%2Fsubscriptions%2F4bcaeb68-1793-4b98-b24e-0a778900612f%2FresourceGroups%2FdigitalDeliveryIntegration-nexDocMgmnt-prd01ae%2Fproviders%2FMicrosoft.DataFactory%2Ffactories%2Funsw-nexgmofm-df-syd-prd-01
RGC File Mover,CORE,Shikha,ADF - unsw-nexgmofm-df-syd-prd-01,RG - digitalDeliveryIntegration-nexDocMgmnt-prd01ae,https://adf.azure.com/en/monitoring/pipelineruns?factory=%2Fsubscriptions%2F4bcaeb68-1793-4b98-b24e-0a778900612f%2FresourceGroups%2FdigitalDeliveryIntegration-nexDocMgmnt-prd01ae%2Fproviders%2FMicrosoft.DataFactory%2Ffactories%2Funsw-nexgmofm-df-syd-prd-01
NEX Location API,CORE,Shikha,NEX Location API,RG - digitalDeliveryIntegration-nexIntegrationCore-prd01ae,https://portal.azure.com/?feature.msaljs=true#@unsw.edu.au/resource/subscriptions/4bcaeb68-1793-4b98-b24e-0a778900612f/resourceGroups/digitalDeliveryIntegration-nexIntegrationCore-prd01ae/providers/Microsoft.Insights/components/unsw-nexintg-appins-syd-prd-apim/failures
